neighbourhood,preco_medio,N_quartos,Per_quartos,preco_medio_V,N_quartos_V,Per_quartos_V
Batignolles-Monceau,102,3177,6.43,107,37,4.81
Bourse,123,1727,3.5,98,6,0.78
Buttes-Chaumont,66,2725,5.52,60,29,3.77
Buttes-Montmartre,79,5296,10.73,110,52,6.76
Élysée,172,1512,3.06,473,26,3.38
Entrepôt,88,3523,7.14,94,23,2.99
Gobelins,72,1744,3.53,61,18,2.34
Hôtel-de-Ville,130,1703,3.45,130,13,1.69
Louvre,145,1103,2.23,114,2,0.26
Luxembourg,141,1511,3.06,136,20,2.6
Ménilmontant,66,2713,5.5,60,36,4.68
Observatoire,97,1901,3.85,92,17,2.21
Opéra,116,2595,5.26,86,31,4.03
Palais-Bourbon,143,1349,2.73,172,95,12.35
Panthéon,113,1745,3.53,155,16,2.08
Passy,127,2442,4.95,143,117,15.21
Popincourt,81,4522,9.16,92,32,4.16
Reuilly,75,2085,4.22,54,10,1.3
Temple,123,2281,4.62,85,5,0.65
Vaugirard,95,3717,7.53,125,184,23.93
